date,series_id,value,series_description,frequency,frequency_description,units,units_description,project
2005-07-01,USTRADE,41,Retail trade,m,monthly,chg,change,diffusion
2005-08-01,USTRADE,16,Retail trade,m,monthly,chg,change,diffusion
2005-09-01,USTRADE,-27.2,Retail trade,m,monthly,chg,change,diffusion
2005-10-01,USTRADE,-3.3,Retail trade,m,monthly,chg,change,diffusion
2005-11-01,USTRADE,31.9,Retail trade,m,monthly,chg,change,diffusion
2005-12-01,USTRADE,6.5,Retail trade,m,monthly,chg,change,diffusion
2006-01-01,USTRADE,-12.8,Retail trade,m,monthly,chg,change,diffusion
2006-02-01,USTRADE,5.8,Retail trade,m,monthly,chg,change,diffusion
2006-03-01,USTRADE,26.7,Retail trade,m,monthly,chg,change,diffusion
2006-04-01,USTRADE,-33.7,Retail trade,m,monthly,chg,change,diffusion
2006-05-01,USTRADE,-32.4,Retail trade,m,monthly,chg,change,diffusion
2006-06-01,USTRADE,12.9,Retail trade,m,monthly,chg,change,diffusion
2006-07-01,USTRADE,1.1,Retail trade,m,monthly,chg,change,diffusion
2006-08-01,USTRADE,2.6,Retail trade,m,monthly,chg,change,diffusion
2006-09-01,USTRADE,2.1,Retail trade,m,monthly,chg,change,diffusion
2006-10-01,USTRADE,33.4,Retail trade,m,monthly,chg,change,diffusion
2006-11-01,USTRADE,38.1,Retail trade,m,monthly,chg,change,diffusion
2006-12-01,USTRADE,2.1,Retail trade,m,monthly,chg,change,diffusion
2007-01-01,USTRADE,35.3,Retail trade,m,monthly,chg,change,diffusion
2007-02-01,USTRADE,25.4,Retail trade,m,monthly,chg,change,diffusion
2007-03-01,USTRADE,58.9,Retail trade,m,monthly,chg,change,diffusion
2007-04-01,USTRADE,-18.8,Retail trade,m,monthly,chg,change,diffusion
2007-05-01,USTRADE,15.9,Retail trade,m,monthly,chg,change,diffusion
2007-06-01,USTRADE,-15.2,Retail trade,m,monthly,chg,change,diffusion
2007-07-01,USTRADE,4.9,Retail trade,m,monthly,chg,change,diffusion
2007-08-01,USTRADE,0.4,Retail trade,m,monthly,chg,change,diffusion
2007-09-01,USTRADE,7.4,Retail trade,m,monthly,chg,change,diffusion
2007-10-01,USTRADE,-7.2,Retail trade,m,monthly,chg,change,diffusion
2007-11-01,USTRADE,66.8,Retail trade,m,monthly,chg,change,diffusion
2007-12-01,USTRADE,-4.9,Retail trade,m,monthly,chg,change,diffusion
2008-01-01,USTRADE,-18.3,Retail trade,m,monthly,chg,change,diffusion
2008-02-01,USTRADE,-40.4,Retail trade,m,monthly,chg,change,diffusion
2008-03-01,USTRADE,-10.1,Retail trade,m,monthly,chg,change,diffusion
2008-04-01,USTRADE,-80.2,Retail trade,m,monthly,chg,change,diffusion
2008-05-01,USTRADE,-64.6,Retail trade,m,monthly,chg,change,diffusion
2008-06-01,USTRADE,-23.4,Retail trade,m,monthly,chg,change,diffusion
2008-07-01,USTRADE,-38.4,Retail trade,m,monthly,chg,change,diffusion
2008-08-01,USTRADE,-60.9,Retail trade,m,monthly,chg,change,diffusion
2008-09-01,USTRADE,-67.5,Retail trade,m,monthly,chg,change,diffusion
2008-10-01,USTRADE,-60,Retail trade,m,monthly,chg,change,diffusion
2008-11-01,USTRADE,-129.5,Retail trade,m,monthly,chg,change,diffusion
2008-12-01,USTRADE,-104.6,Retail trade,m,monthly,chg,change,diffusion
2009-01-01,USTRADE,-82.2,Retail trade,m,monthly,chg,change,diffusion
2009-02-01,USTRADE,-89,Retail trade,m,monthly,chg,change,diffusion
2009-03-01,USTRADE,-84.9,Retail trade,m,monthly,chg,change,diffusion
2009-04-01,USTRADE,-60.8,Retail trade,m,monthly,chg,change,diffusion
2009-05-01,USTRADE,-16.3,Retail trade,m,monthly,chg,change,diffusion
2009-06-01,USTRADE,-14.5,Retail trade,m,monthly,chg,change,diffusion
2009-07-01,USTRADE,-53.7,Retail trade,m,monthly,chg,change,diffusion
2009-08-01,USTRADE,-7.6,Retail trade,m,monthly,chg,change,diffusion
2009-09-01,USTRADE,-33.7,Retail trade,m,monthly,chg,change,diffusion
2009-10-01,USTRADE,-46.9,Retail trade,m,monthly,chg,change,diffusion
2009-11-01,USTRADE,-18.6,Retail trade,m,monthly,chg,change,diffusion
2009-12-01,USTRADE,-30.7,Retail trade,m,monthly,chg,change,diffusion
2010-01-01,USTRADE,51.9,Retail trade,m,monthly,chg,change,diffusion
2010-02-01,USTRADE,-6.4,Retail trade,m,monthly,chg,change,diffusion
2010-03-01,USTRADE,35.6,Retail trade,m,monthly,chg,change,diffusion
2010-04-01,USTRADE,-1.4,Retail trade,m,monthly,chg,change,diffusion
2010-05-01,USTRADE,7.4,Retail trade,m,monthly,chg,change,diffusion
2010-06-01,USTRADE,1.7,Retail trade,m,monthly,chg,change,diffusion
2010-07-01,USTRADE,3.7,Retail trade,m,monthly,chg,change,diffusion
2010-08-01,USTRADE,12.7,Retail trade,m,monthly,chg,change,diffusion
2010-09-01,USTRADE,5,Retail trade,m,monthly,chg,change,diffusion
2010-10-01,USTRADE,41.7,Retail trade,m,monthly,chg,change,diffusion
2010-11-01,USTRADE,-15.6,Retail trade,m,monthly,chg,change,diffusion
2010-12-01,USTRADE,-2.9,Retail trade,m,monthly,chg,change,diffusion
2011-01-01,USTRADE,51.3,Retail trade,m,monthly,chg,change,diffusion
2011-02-01,USTRADE,21.3,Retail trade,m,monthly,chg,change,diffusion
2011-03-01,USTRADE,20.7,Retail trade,m,monthly,chg,change,diffusion
2011-04-01,USTRADE,68.2,Retail trade,m,monthly,chg,change,diffusion
2011-05-01,USTRADE,-0.1,Retail trade,m,monthly,chg,change,diffusion
2011-06-01,USTRADE,32.9,Retail trade,m,monthly,chg,change,diffusion
2011-07-01,USTRADE,38.8,Retail trade,m,monthly,chg,change,diffusion
2011-08-01,USTRADE,1.9,Retail trade,m,monthly,chg,change,diffusion
2011-09-01,USTRADE,8,Retail trade,m,monthly,chg,change,diffusion
2011-10-01,USTRADE,12,Retail trade,m,monthly,chg,change,diffusion
2011-11-01,USTRADE,17,Retail trade,m,monthly,chg,change,diffusion
2011-12-01,USTRADE,-9,Retail trade,m,monthly,chg,change,diffusion
2012-01-01,USTRADE,63.5,Retail trade,m,monthly,chg,change,diffusion
2012-02-01,USTRADE,-12,Retail trade,m,monthly,chg,change,diffusion
2012-03-01,USTRADE,17.2,Retail trade,m,monthly,chg,change,diffusion
2012-04-01,USTRADE,11.3,Retail trade,m,monthly,chg,change,diffusion
2012-05-01,USTRADE,6.2,Retail trade,m,monthly,chg,change,diffusion
2012-06-01,USTRADE,-20.2,Retail trade,m,monthly,chg,change,diffusion
2012-07-01,USTRADE,-9.6,Retail trade,m,monthly,chg,change,diffusion
2012-08-01,USTRADE,11.2,Retail trade,m,monthly,chg,change,diffusion
2012-09-01,USTRADE,26.8,Retail trade,m,monthly,chg,change,diffusion
2012-10-01,USTRADE,15.8,Retail trade,m,monthly,chg,change,diffusion
2012-11-01,USTRADE,80.9,Retail trade,m,monthly,chg,change,diffusion
2012-12-01,USTRADE,-31.3,Retail trade,m,monthly,chg,change,diffusion
2013-01-01,USTRADE,23.7,Retail trade,m,monthly,chg,change,diffusion
2013-02-01,USTRADE,20,Retail trade,m,monthly,chg,change,diffusion
2013-03-01,USTRADE,1.1,Retail trade,m,monthly,chg,change,diffusion
2013-04-01,USTRADE,14.6,Retail trade,m,monthly,chg,change,diffusion
2013-05-01,USTRADE,27.8,Retail trade,m,monthly,chg,change,diffusion
2013-06-01,USTRADE,47.6,Retail trade,m,monthly,chg,change,diffusion
2013-07-01,USTRADE,45.6,Retail trade,m,monthly,chg,change,diffusion
2013-08-01,USTRADE,44.8,Retail trade,m,monthly,chg,change,diffusion
2013-09-01,USTRADE,27.5,Retail trade,m,monthly,chg,change,diffusion
2013-10-01,USTRADE,26.6,Retail trade,m,monthly,chg,change,diffusion
2013-11-01,USTRADE,32.7,Retail trade,m,monthly,chg,change,diffusion
2013-12-01,USTRADE,54,Retail trade,m,monthly,chg,change,diffusion
2014-01-01,USTRADE,-16.9,Retail trade,m,monthly,chg,change,diffusion
2014-02-01,USTRADE,-28.2,Retail trade,m,monthly,chg,change,diffusion
2014-03-01,USTRADE,30.4,Retail trade,m,monthly,chg,change,diffusion
2014-04-01,USTRADE,41.5,Retail trade,m,monthly,chg,change,diffusion
2014-05-01,USTRADE,6.3,Retail trade,m,monthly,chg,change,diffusion
2014-06-01,USTRADE,40.6,Retail trade,m,monthly,chg,change,diffusion
2014-07-01,USTRADE,23.5,Retail trade,m,monthly,chg,change,diffusion
2014-08-01,USTRADE,8.2,Retail trade,m,monthly,chg,change,diffusion
2014-09-01,USTRADE,29.5,Retail trade,m,monthly,chg,change,diffusion
2014-10-01,USTRADE,38.3,Retail trade,m,monthly,chg,change,diffusion
2014-11-01,USTRADE,25.6,Retail trade,m,monthly,chg,change,diffusion
2014-12-01,USTRADE,14.3,Retail trade,m,monthly,chg,change,diffusion
2015-01-01,USTRADE,17.3,Retail trade,m,monthly,chg,change,diffusion
2015-02-01,USTRADE,15,Retail trade,m,monthly,chg,change,diffusion
2015-03-01,USTRADE,32.6,Retail trade,m,monthly,chg,change,diffusion
2015-04-01,USTRADE,14.2,Retail trade,m,monthly,chg,change,diffusion
2015-05-01,USTRADE,34.1,Retail trade,m,monthly,chg,change,diffusion
2015-06-01,USTRADE,9.1,Retail trade,m,monthly,chg,change,diffusion
2015-07-01,USTRADE,14.5,Retail trade,m,monthly,chg,change,diffusion
2015-08-01,USTRADE,6.5,Retail trade,m,monthly,chg,change,diffusion
2015-09-01,USTRADE,-10.3,Retail trade,m,monthly,chg,change,diffusion
2015-10-01,USTRADE,41.9,Retail trade,m,monthly,chg,change,diffusion
2015-11-01,USTRADE,6.4,Retail trade,m,monthly,chg,change,diffusion
2015-12-01,USTRADE,5.3,Retail trade,m,monthly,chg,change,diffusion
2016-01-01,USTRADE,35.1,Retail trade,m,monthly,chg,change,diffusion
2016-02-01,USTRADE,48.3,Retail trade,m,monthly,chg,change,diffusion
2016-03-01,USTRADE,55.4,Retail trade,m,monthly,chg,change,diffusion
2016-04-01,USTRADE,-2.4,Retail trade,m,monthly,chg,change,diffusion
2016-05-01,USTRADE,5.1,Retail trade,m,monthly,chg,change,diffusion
2016-06-01,USTRADE,16.4,Retail trade,m,monthly,chg,change,diffusion
2016-07-01,USTRADE,14.8,Retail trade,m,monthly,chg,change,diffusion
2016-08-01,USTRADE,16.9,Retail trade,m,monthly,chg,change,diffusion
2016-09-01,USTRADE,5.1,Retail trade,m,monthly,chg,change,diffusion
2016-10-01,USTRADE,3.6,Retail trade,m,monthly,chg,change,diffusion
2016-11-01,USTRADE,-43,Retail trade,m,monthly,chg,change,diffusion
2016-12-01,USTRADE,31.4,Retail trade,m,monthly,chg,change,diffusion
2017-01-01,USTRADE,58.5,Retail trade,m,monthly,chg,change,diffusion
2017-02-01,USTRADE,-24.5,Retail trade,m,monthly,chg,change,diffusion
2017-03-01,USTRADE,-28.4,Retail trade,m,monthly,chg,change,diffusion
2017-04-01,USTRADE,-19.9,Retail trade,m,monthly,chg,change,diffusion
2017-05-01,USTRADE,-19.4,Retail trade,m,monthly,chg,change,diffusion
2017-06-01,USTRADE,-8.4,Retail trade,m,monthly,chg,change,diffusion
2017-07-01,USTRADE,-8.4,Retail trade,m,monthly,chg,change,diffusion
2017-08-01,USTRADE,-6.1,Retail trade,m,monthly,chg,change,diffusion
2017-09-01,USTRADE,-11.5,Retail trade,m,monthly,chg,change,diffusion
2017-10-01,USTRADE,-2,Retail trade,m,monthly,chg,change,diffusion
2017-11-01,USTRADE,37.1,Retail trade,m,monthly,chg,change,diffusion
2017-12-01,USTRADE,-41.1,Retail trade,m,monthly,chg,change,diffusion
2018-01-01,USTRADE,-35,Retail trade,m,monthly,chg,change,diffusion
2018-02-01,USTRADE,47.7,Retail trade,m,monthly,chg,change,diffusion
2018-03-01,USTRADE,15.5,Retail trade,m,monthly,chg,change,diffusion
2018-04-01,USTRADE,0.3,Retail trade,m,monthly,chg,change,diffusion
2018-05-01,USTRADE,15.4,Retail trade,m,monthly,chg,change,diffusion
2018-06-01,USTRADE,-47.4,Retail trade,m,monthly,chg,change,diffusion
2018-07-01,USTRADE,-15.7,Retail trade,m,monthly,chg,change,diffusion
2018-08-01,USTRADE,0.5,Retail trade,m,monthly,chg,change,diffusion
2018-09-01,USTRADE,-39.3,Retail trade,m,monthly,chg,change,diffusion
2018-10-01,USTRADE,-42.8,Retail trade,m,monthly,chg,change,diffusion
2018-11-01,USTRADE,43.3,Retail trade,m,monthly,chg,change,diffusion
2018-12-01,USTRADE,-54.1,Retail trade,m,monthly,chg,change,diffusion
2019-01-01,USTRADE,-20.4,Retail trade,m,monthly,chg,change,diffusion
2019-02-01,USTRADE,-19.2,Retail trade,m,monthly,chg,change,diffusion
2019-03-01,USTRADE,-14.5,Retail trade,m,monthly,chg,change,diffusion
2019-04-01,USTRADE,-5.2,Retail trade,m,monthly,chg,change,diffusion
2019-05-01,USTRADE,-14.6,Retail trade,m,monthly,chg,change,diffusion
2019-06-01,USTRADE,-28.1,Retail trade,m,monthly,chg,change,diffusion
2019-07-01,USTRADE,-2.3,Retail trade,m,monthly,chg,change,diffusion
2019-08-01,USTRADE,-9,Retail trade,m,monthly,chg,change,diffusion
2019-09-01,USTRADE,6.3,Retail trade,m,monthly,chg,change,diffusion
2019-10-01,USTRADE,10.5,Retail trade,m,monthly,chg,change,diffusion
2019-11-01,USTRADE,-8.3,Retail trade,m,monthly,chg,change,diffusion
2019-12-01,USTRADE,17,Retail trade,m,monthly,chg,change,diffusion
2020-01-01,USTRADE,-16.2,Retail trade,m,monthly,chg,change,diffusion
2020-02-01,USTRADE,-8.7,Retail trade,m,monthly,chg,change,diffusion
2020-03-01,USTRADE,-88.9,Retail trade,m,monthly,chg,change,diffusion
2020-04-01,USTRADE,-2177.2,Retail trade,m,monthly,chg,change,diffusion
2020-05-01,USTRADE,385.4,Retail trade,m,monthly,chg,change,diffusion
2020-06-01,USTRADE,801.5,Retail trade,m,monthly,chg,change,diffusion
2020-07-01,USTRADE,222.5,Retail trade,m,monthly,chg,change,diffusion
2020-08-01,USTRADE,294.2,Retail trade,m,monthly,chg,change,diffusion
2020-09-01,USTRADE,40.7,Retail trade,m,monthly,chg,change,diffusion
2020-10-01,USTRADE,109.7,Retail trade,m,monthly,chg,change,diffusion
2020-11-01,USTRADE,5.9,Retail trade,m,monthly,chg,change,diffusion
2020-12-01,USTRADE,4,Retail trade,m,monthly,chg,change,diffusion
2021-01-01,USTRADE,59.6,Retail trade,m,monthly,chg,change,diffusion
2021-02-01,USTRADE,30.3,Retail trade,m,monthly,chg,change,diffusion
2021-03-01,USTRADE,26.3,Retail trade,m,monthly,chg,change,diffusion
2021-04-01,USTRADE,-32.2,Retail trade,m,monthly,chg,change,diffusion
2021-05-01,USTRADE,18.8,Retail trade,m,monthly,chg,change,diffusion
2021-06-01,USTRADE,35.9,Retail trade,m,monthly,chg,change,diffusion
2021-07-01,USTRADE,-33.8,Retail trade,m,monthly,chg,change,diffusion
2021-08-01,USTRADE,11.9,Retail trade,m,monthly,chg,change,diffusion
2021-09-01,USTRADE,70.9,Retail trade,m,monthly,chg,change,diffusion
2021-10-01,USTRADE,53.6,Retail trade,m,monthly,chg,change,diffusion
2021-11-01,USTRADE,-5,Retail trade,m,monthly,chg,change,diffusion
2021-12-01,USTRADE,11.2,Retail trade,m,monthly,chg,change,diffusion
2022-01-01,USTRADE,30.1,Retail trade,m,monthly,chg,change,diffusion
2022-02-01,USTRADE,168.8,Retail trade,m,monthly,chg,change,diffusion
2022-03-01,USTRADE,-22.1,Retail trade,m,monthly,chg,change,diffusion
2022-04-01,USTRADE,-37.4,Retail trade,m,monthly,chg,change,diffusion
2022-05-01,USTRADE,-51.4,Retail trade,m,monthly,chg,change,diffusion
2022-06-01,USTRADE,14.1,Retail trade,m,monthly,chg,change,diffusion
2022-07-01,USTRADE,9.4,Retail trade,m,monthly,chg,change,diffusion
2022-08-01,USTRADE,36.7,Retail trade,m,monthly,chg,change,diffusion
2022-09-01,USTRADE,-11.1,Retail trade,m,monthly,chg,change,diffusion
2022-10-01,USTRADE,-5.6,Retail trade,m,monthly,chg,change,diffusion
2022-11-01,USTRADE,-45.6,Retail trade,m,monthly,chg,change,diffusion
2022-12-01,USTRADE,26.7,Retail trade,m,monthly,chg,change,diffusion
2023-01-01,USTRADE,22.3,Retail trade,m,monthly,chg,change,diffusion
2023-02-01,USTRADE,48,Retail trade,m,monthly,chg,change,diffusion
2023-03-01,USTRADE,-19.5,Retail trade,m,monthly,chg,change,diffusion
2023-04-01,USTRADE,7.7,Retail trade,m,monthly,chg,change,diffusion
2003-05-01,CES4300000001,-4,Transportation and warehousing,m,monthly,chg,change,diffusion
2003-06-01,CES4300000001,-8,Transportation and warehousing,m,monthly,chg,change,diffusion
2003-07-01,CES4300000001,-8.1,Transportation and warehousing,m,monthly,chg,change,diffusion
2003-08-01,CES4300000001,1.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2003-09-01,CES4300000001,10.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2003-10-01,CES4300000001,9.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2003-11-01,CES4300000001,3.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2003-12-01,CES4300000001,-13.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-01-01,CES4300000001,30.1,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-02-01,CES4300000001,4.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-03-01,CES4300000001,16.7,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-04-01,CES4300000001,-6.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-05-01,CES4300000001,12.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-06-01,CES4300000001,14.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-07-01,CES4300000001,9.7,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-08-01,CES4300000001,6.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-09-01,CES4300000001,12.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-10-01,CES4300000001,9.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-11-01,CES4300000001,-1.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2004-12-01,CES4300000001,17.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-01-01,CES4300000001,9.1,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-02-01,CES4300000001,13.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-03-01,CES4300000001,9.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-04-01,CES4300000001,15.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-05-01,CES4300000001,9.7,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-06-01,CES4300000001,0.7,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-07-01,CES4300000001,12.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-08-01,CES4300000001,5,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-09-01,CES4300000001,3.1,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-10-01,CES4300000001,6.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-11-01,CES4300000001,13.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2005-12-01,CES4300000001,4.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-01-01,CES4300000001,16.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-02-01,CES4300000001,10.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-03-01,CES4300000001,-0.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-04-01,CES4300000001,15.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-05-01,CES4300000001,12.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-06-01,CES4300000001,5.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-07-01,CES4300000001,14.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-08-01,CES4300000001,-0.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-09-01,CES4300000001,9.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-10-01,CES4300000001,9.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-11-01,CES4300000001,12.1,Transportation and warehousing,m,monthly,chg,change,diffusion
2006-12-01,CES4300000001,20.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-01-01,CES4300000001,1.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-02-01,CES4300000001,1.1,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-03-01,CES4300000001,3.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-04-01,CES4300000001,2.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-05-01,CES4300000001,1.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-06-01,CES4300000001,-1.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-07-01,CES4300000001,3,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-08-01,CES4300000001,-3.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-09-01,CES4300000001,22,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-10-01,CES4300000001,-4.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-11-01,CES4300000001,-2.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2007-12-01,CES4300000001,-2.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-01-01,CES4300000001,1.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-02-01,CES4300000001,3.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-03-01,CES4300000001,0.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-04-01,CES4300000001,4.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-05-01,CES4300000001,-11.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-06-01,CES4300000001,-12.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-07-01,CES4300000001,-5.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-08-01,CES4300000001,-17,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-09-01,CES4300000001,-35.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-10-01,CES4300000001,-14.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-11-01,CES4300000001,-40.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2008-12-01,CES4300000001,-26.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-01-01,CES4300000001,-23.7,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-02-01,CES4300000001,-24,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-03-01,CES4300000001,-33.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-04-01,CES4300000001,-45.7,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-05-01,CES4300000001,-17.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-06-01,CES4300000001,-17.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-07-01,CES4300000001,-21.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-08-01,CES4300000001,-10.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-09-01,CES4300000001,-8.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-10-01,CES4300000001,-15.7,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-11-01,CES4300000001,-5.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2009-12-01,CES4300000001,-49.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-01-01,CES4300000001,20.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-02-01,CES4300000001,0.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-03-01,CES4300000001,11.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-04-01,CES4300000001,6.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-05-01,CES4300000001,11.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-06-01,CES4300000001,16.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-07-01,CES4300000001,17.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-08-01,CES4300000001,-3.7,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-09-01,CES4300000001,17.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-10-01,CES4300000001,10.1,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-11-01,CES4300000001,8.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2010-12-01,CES4300000001,24.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-01-01,CES4300000001,-32.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-02-01,CES4300000001,30.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-03-01,CES4300000001,10.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-04-01,CES4300000001,18.7,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-05-01,CES4300000001,8.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-06-01,CES4300000001,15.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-07-01,CES4300000001,2.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-08-01,CES4300000001,6.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-09-01,CES4300000001,5.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-10-01,CES4300000001,8.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-11-01,CES4300000001,4.1,Transportation and warehousing,m,monthly,chg,change,diffusion
2011-12-01,CES4300000001,0.1,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-01-01,CES4300000001,18,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-02-01,CES4300000001,25.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-03-01,CES4300000001,4.8,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-04-01,CES4300000001,-12.1,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-05-01,CES4300000001,32.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-06-01,CES4300000001,0.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-07-01,CES4300000001,12.2,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-08-01,CES4300000001,12.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-09-01,CES4300000001,3.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-10-01,CES4300000001,10.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-11-01,CES4300000001,-8.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2012-12-01,CES4300000001,35.6,Transportation and warehousing,m,monthly,chg,change,diffusion
2013-01-01,CES4300000001,1.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2013-02-01,CES4300000001,-1.7,Transportation and warehousing,m,monthly,chg,change,diffusion
2013-03-01,CES4300000001,-6.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2013-04-01,CES4300000001,14.5,Transportation and warehousing,m,monthly,chg,change,diffusion
2013-05-01,CES4300000001,-3.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2013-06-01,CES4300000001,4.3,Transportation and warehousing,m,monthly,chg,change,diffusion
2013-07-01,CES4300000001,-7.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2013-08-01,CES4300000001,15.9,Transportation and warehousing,m,monthly,chg,change,diffusion
2013-09-01,CES4300000001,26.4,Transportation and warehousing,m,monthly,chg,change,diffusion
2013-10-01,CES4300000001,6,Transportation and warehousing,m,monthly,chg,change,diffusion
